"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"memetic",254.614549,3467552,24,0.438609084341805
"N-be75np_150",150,"memetic",252.443543,7128837,23,0.634038742320706
"N-be75oi_150",150,"memetic",256.395525,2231585,18,0.665425050321963
"N-be75tot_150",150,"memetic",260.997491,12186985,16,0.819697279565667
"N-stabu1_150",150,"memetic",252.390479,2859395,25,0.568098835357398
"N-stabu2_150",150,"memetic",251.957625,4301386,25,0.604315895088616
"N-stabu3_150",150,"memetic",250.143612,4484428,17,0.576816699904333
"N-t59b11xx_150",150,"memetic",257.128758,3212660,15,0.830053556821163
"N-t59d11xx_150",150,"memetic",251.591719,1458704,25,0.272988869191637
"N-t59f11xx_150",150,"memetic",253.532913,1533540,25,0.660282574771674
"N-t59n11xx_150",150,"memetic",251.553561,317375,19,0.496927514421871
"N-t65b11xx_150",150,"memetic",255.678273,6413425,24,0.626154739599829
"N-t65d11xx_150",150,"memetic",255.128994,3535490,22,0.670263393819147
"N-t65f11xx_150",150,"memetic",250.15954,3145149,25,0.448734951695393
"N-t65l11xx_150",150,"memetic",252.279569,252135,28,0.497640057459471
"N-t65n11xx_150",150,"memetic",256.525161,546805,26,0.713231275409318
"N-t69r11xx_150",150,"memetic",251.592171,11796034,25,0.505425247409382
"N-t70b11xx_150",150,"memetic",256.40773,9580346,26,0.693287160489297
"N-t70d11xn_150",150,"memetic",253.830213,5782004,25,0.740633669845585
"N-t70d11xx_150",150,"memetic",251.198724,6122290,25,0.840403370294799
"N-t70f11xx_150",150,"memetic",250.57406,5120000,26,0.584396759905687
"N-t70l11xx_150",150,"memetic",251.102044,434744,27,0.484821293680842
"N-t70n11xx_150",150,"memetic",256.937635,943746,25,0.544517779817539
"N-t74d11xx_150",150,"memetic",256.835493,9350835,26,0.481149300705701
"N-t75d11xx_150",150,"memetic",251.21458,9573610,25,0.710734339057512
"N-t75e11xx_150",150,"memetic",255.190986,41248171,25,0.774646391466116
"N-t75k11xx_150",150,"memetic",252.3614,1535929,24,0.367606039455214
"N-t75n11xx_150",150,"memetic",251.141714,1730963,24,0.695946403349446
"N-tiw56n54_150",150,"memetic",258.234628,832712,25,0.624503994892266
"N-tiw56n58_150",150,"memetic",254.822985,1148956,25,0.557040381100094
"N-tiw56n62_150",150,"memetic",251.502311,1616078,24,0.666473664056214
"N-tiw56n66_150",150,"memetic",255.129843,2093787,26,0.656285600006453
"N-tiw56n67_150",150,"memetic",252.994436,2358960,24,0.588556069595091
"N-tiw56n72_150",150,"memetic",255.369312,4105667,19,0.731157639666463
"N-tiw56r54_150",150,"memetic",254.971872,951616,26,0.686292517574766
"N-tiw56r58_150",150,"memetic",255.852481,1209352,26,0.815471235427029
"N-tiw56r66_150",150,"memetic",251.780701,1924024,16,0.862087177412914
"N-tiw56r67_150",150,"memetic",251.038605,2042798,24,0.658886851295039
"N-tiw56r72_150",150,"memetic",256.250388,2813884,25,0.349675857492037
"N-be75eec_150",150,"memetic",105.180261,3455280,3,0.790966421540197
"N-be75np_150",150,"memetic",109.150183,7090042,3,1.17478647817042
"N-be75oi_150",150,"memetic",112.316058,2228982,3,0.781292426466726
"N-be75tot_150",150,"memetic",104.660328,12130485,3,1.27950642052256
"N-stabu1_150",150,"memetic",105.009169,2841603,3,1.18679348423288
"N-stabu2_150",150,"memetic",104.365098,4293914,3,0.776977579399649
"N-stabu3_150",150,"memetic",107.719086,4478359,3,0.711371050971689
"N-t59b11xx_150",150,"memetic",102.2349,3199110,3,1.24832152613789
"N-t59d11xx_150",150,"memetic",103.219779,1445469,3,1.17782425204947
"N-t59f11xx_150",150,"memetic",108.463433,1526504,4,1.11606087322095
"N-t59n11xx_150",150,"memetic",107.988557,316419,4,0.796651617757713
"N-t65b11xx_150",150,"memetic",105.205149,6378385,4,1.16908765577557
"N-t65d11xx_150",150,"memetic",104.262614,3524289,4,0.984955948380419
"N-t65f11xx_150",150,"memetic",107.416342,3121057,4,1.21130266392262
"N-t65l11xx_150",150,"memetic",102.478125,251146,5,0.887938246854725
"N-t65n11xx_150",150,"memetic",104.711997,543774,4,1.26358870813988
"N-t69r11xx_150",150,"memetic",108.647219,11684708,5,1.4444131334147
"N-t70b11xx_150",150,"memetic",100.706246,9533693,4,1.1768768005818
"N-t70d11xn_150",150,"memetic",106.278112,5753942,4,1.22237258561887
"N-t70d11xx_150",150,"memetic",110.182772,6087890,4,1.39756255812515
"N-t70f11xx_150",150,"memetic",111.327007,5105877,5,0.858624604546283
"N-t70l11xx_150",150,"memetic",102.523196,430765,4,1.39563523492545
"N-t70n11xx_150",150,"memetic",105.279272,936823,4,1.27408940545656
"N-t74d11xx_150",150,"memetic",104.158004,9288782,4,1.14156553545301
"N-t75d11xx_150",150,"memetic",101.164895,9516071,4,1.30747945995391
"N-t75e11xx_150",150,"memetic",105.649069,41221474,4,0.838867887863787
"N-t75k11xx_150",150,"memetic",105.448449,1528352,4,0.859109649999092
"N-t75n11xx_150",150,"memetic",112.613174,1719277,4,1.36636348928973
"N-tiw56n54_150",150,"memetic",102.552099,828202,4,1.16272547720912
"N-tiw56n58_150",150,"memetic",101.676471,1144017,4,0.984514346645987
"N-tiw56n62_150",150,"memetic",101.890528,1608934,3,1.10558533573542
"N-tiw56n66_150",150,"memetic",103.312646,2084857,7,1.07998646814249
"N-tiw56n67_150",150,"memetic",104.028307,2352020,7,0.881021995629025
"N-tiw56n72_150",150,"memetic",104.46351,4097187,7,0.936191263488275
"N-tiw56r54_150",150,"memetic",103.571891,948820,7,0.978092073404913
"N-tiw56r58_150",150,"memetic",101.563927,1203808,7,1.27016021553439
"N-tiw56r66_150",150,"memetic",101.159244,1920780,7,1.02923862105212
"N-tiw56r67_150",150,"memetic",103.879799,2038308,7,0.877235213706636
"N-tiw56r72_150",150,"memetic",102.031818,2795068,7,1.0160219112261
"N-be75eec_150",150,"memetic",175.963285,3457442,9,0.728890430420337
"N-be75np_150",150,"memetic",186.151887,7114504,9,0.833820603332021
"N-be75oi_150",150,"memetic",180.725795,2231585,9,0.665425050321963
"N-be75tot_150",150,"memetic",175.938092,12165729,9,0.992683175144069
"N-stabu1_150",150,"memetic",183.733706,2848408,10,0.950158081490208
"N-stabu2_150",150,"memetic",182.507897,4299845,9,0.639925056695054
"N-stabu3_150",150,"memetic",183.183948,4480505,10,0.663792596961054
"N-t59b11xx_150",150,"memetic",183.449844,3212660,13,0.830053556821163
"N-t59d11xx_150",150,"memetic",181.614683,1454048,12,0.591304966100293
"N-t59f11xx_150",150,"memetic",179.183092,1530418,12,0.862519619649253
"N-t59n11xx_150",150,"memetic",175.532138,317109,16,0.580323551542513
"N-t65b11xx_150",150,"memetic",178.117229,6410601,15,0.669911661839563
"N-t65d11xx_150",150,"memetic",176.205171,3533694,16,0.7207220875065
"N-t65f11xx_150",150,"memetic",180.176088,3138698,16,0.65292407304596
"N-t65l11xx_150",150,"memetic",175.136752,252075,18,0.52131841070893
"N-t65n11xx_150",150,"memetic",177.897451,545193,16,1.00593209413636
"N-t69r11xx_150",150,"memetic",176.983708,11770071,16,0.724412208984901
"N-t70b11xx_150",150,"memetic",176.00573,9562626,16,0.876966847164092
"N-t70d11xn_150",150,"memetic",179.724877,5768496,16,0.972524813536894
"N-t70d11xx_150",150,"memetic",178.115494,6118939,16,0.894677801644203
"N-t70f11xx_150",150,"memetic",180.924431,5109016,17,0.797674296231702
"N-t70l11xx_150",150,"memetic",176.295581,433598,17,0.747146696210703
"N-t70n11xx_150",150,"memetic",179.0528,941282,16,0.804183312906452
"N-t74d11xx_150",150,"memetic",181.054908,9345263,17,0.540450853571993
"N-t75d11xx_150",150,"memetic",176.764073,9572001,16,0.727421506014225
"N-t75e11xx_150",150,"memetic",179.188678,41248171,16,0.774646391466116
"N-t75k11xx_150",150,"memetic",180.816102,1533694,16,0.512585657980431
"N-t75n11xx_150",150,"memetic",177.381456,1730963,14,0.695946403349446
"N-tiw56n54_150",150,"memetic",179.34361,830490,15,0.889676530082523
"N-tiw56n58_150",150,"memetic",183.467832,1145186,9,0.883336564559907
"N-tiw56n62_150",150,"memetic",181.017852,1610056,8,1.03662070868837
"N-tiw56n66_150",150,"memetic",175.709411,2084857,8,1.07998646814249
"N-tiw56n67_150",150,"memetic",222.196184,2349447,6,0.989453526995785
"N-tiw56n72_150",150,"memetic",181.312646,4105667,16,0.731157639666463
"N-tiw56r54_150",150,"memetic",187.970884,949537,10,0.903263646534306
