instance, size, algorithm, time, cost, iterations
N-be75eec_150,150,memetic,515.725489,3467552,29
N-be75eec_150,150,memetic,513.118133,3453429,51
N-be75eec_150,150,memetic,306.078600,3472586,32
N-be75eec_150,150,memetic,304.174045,3472586,30
N-be75eec_150,150,memetic,305.355271,3470497,23
N-be75eec_150,150,memetic,303.223351,3470497,22
N-be75eec_150,150,memetic,309.643873,3469877,21
N-be75eec_150,150,memetic,63.548017,3441140,2
N-be75eec_150,150,memetic,61.568289,3447903,3
N-be75eec_150,150,memetic,114.055226,3448524,8
