"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"best","exchange","CW",12.784633,3404935,187,2.2364871305732
"N-be75eec_150",150,"best","exchange","random",10.833696,3370646,157,3.2210031617984
"N-be75eec_150",150,"best","transpose","CW",0.08715,2792669,93,19.8160517832061
"N-be75eec_150",150,"best","transpose","random",0.078063,2116936,78,39.2178999364884
"N-be75eec_150",150,"best","insert","CW",24.434922,3433353,198,1.42054100862862
"N-be75eec_150",150,"best","insert","random",23.687314,3422308,192,1.73766835456704
"N-be75np_150",150,"best","exchange","CW",12.08677,6906595,189,3.73177964477494
"N-be75np_150",150,"best","exchange","random",11.803687,6937823,183,3.29650524613814
"N-be75np_150",150,"best","transpose","CW",0.115588,5705657,112,20.4711662769668
"N-be75np_150",150,"best","transpose","random",0.099976,4807943,104,32.9840368257641
"N-be75np_150",150,"best","insert","CW",23.196576,6997512,188,2.46452453715158
"N-be75np_150",150,"best","insert","random",22.861231,7044246,186,1.8131183072972
"N-be75oi_150",150,"best","exchange","CW",10.303967,2195416,160,2.27541626345295
"N-be75oi_150",150,"best","exchange","random",14.772528,2206582,230,1.77838394611433
"N-be75oi_150",150,"best","transpose","CW",0.116873,1922415,86,14.4275136721723
"N-be75oi_150",150,"best","transpose","random",0.064489,1494457,69,33.4772142331253
"N-be75oi_150",150,"best","insert","CW",23.467351,2211769,191,1.54749494109593
"N-be75oi_150",150,"best","insert","random",22.528666,2212618,182,1.50970339198071
"N-be75tot_150",150,"best","exchange","CW",10.777424,11825207,167,3.76392438393917
"N-be75tot_150",150,"best","exchange","random",10.915462,11788049,170,4.066324172606
"N-be75tot_150",150,"best","transpose","CW",0.137677,9623435,139,21.6824180459381
"N-be75tot_150",150,"best","transpose","random",0.117934,7759919,117,36.8481116940695
"N-be75tot_150",150,"best","insert","CW",21.915645,11952098,177,2.73125815906906
"N-be75tot_150",150,"best","insert","random",27.182222,11989949,218,2.42321858748748
"N-stabu1_150",150,"best","exchange","CW",11.754971,2803088,183,2.52610465787493
"N-stabu1_150",150,"best","exchange","random",11.346779,2769345,176,3.69947547267965
"N-stabu1_150",150,"best","transpose","CW",0.108569,2323049,108,19.2188632320397
"N-stabu1_150",150,"best","transpose","random",0.119146,1836079,132,36.1526387020766
"N-stabu1_150",150,"best","insert","CW",22.724846,2834001,184,1.45114356970677
"N-stabu1_150",150,"best","insert","random",23.361356,2815434,190,2.09678787870358
"N-stabu2_150",150,"best","exchange","CW",11.754341,4181282,184,3.37965836464059
"N-stabu2_150",150,"best","exchange","random",14.005613,4231238,218,2.22528375256324
"N-stabu2_150",150,"best","transpose","CW",0.110114,3500351,110,19.1144941997043
"N-stabu2_150",150,"best","transpose","random",0.091163,2730307,100,36.9085378337521
"N-stabu2_150",150,"best","insert","CW",22.462325,4283624,183,1.01475712056139
"N-stabu2_150",150,"best","insert","random",21.343673,4224250,174,2.38676124854363
"N-stabu3_150",150,"best","exchange","CW",12.389594,4397351,193,2.5073800922082
"N-stabu3_150",150,"best","exchange","random",10.472973,4350861,163,3.53809879069582
"N-stabu3_150",150,"best","transpose","CW",0.11229,3649245,113,19.0934597362345
"N-stabu3_150",150,"best","transpose","random",0.093831,2647243,103,41.3086070221453
"N-stabu3_150",150,"best","insert","CW",21.71178,4426914,175,1.85194587230307
"N-stabu3_150",150,"best","insert","random",25.72912,4432284,209,1.73288888346937
"N-t59b11xx_150",150,"best","exchange","CW",9.244767,3100965,144,4.27790896883826
"N-t59b11xx_150",150,"best","exchange","random",9.986549,3127495,156,3.45896806655245
"N-t59b11xx_150",150,"best","transpose","CW",0.053006,2511705,55,22.4674723341205
"N-t59b11xx_150",150,"best","transpose","random",0.064937,2197385,57,32.1700544828757
"N-t59b11xx_150",150,"best","insert","CW",22.555021,3169835,184,2.15199641925576
"N-t59b11xx_150",150,"best","insert","random",24.856815,3173655,201,2.03407880724175
"N-t59d11xx_150",150,"best","exchange","CW",11.290766,1404481,176,3.98004508110702
"N-t59d11xx_150",150,"best","exchange","random",10.878259,1408677,170,3.69317773947714
"N-t59d11xx_150",150,"best","transpose","CW",0.085902,1160300,90,20.6739331522523
"N-t59d11xx_150",150,"best","transpose","random",0.082135,945637,82,35.3497682705304
"N-t59d11xx_150",150,"best","insert","CW",20.07831,1436521,164,1.78957090908096
"N-t59d11xx_150",150,"best","insert","random",25.11952,1434708,205,1.91352002499492
"N-t59f11xx_150",150,"best","exchange","CW",10.083032,1498204,158,2.94927944145782
"N-t59f11xx_150",150,"best","exchange","random",10.691877,1490221,165,3.46640254499969
"N-t59f11xx_150",150,"best","transpose","CW",0.076508,1216686,81,21.1854640666488
"N-t59f11xx_150",150,"best","transpose","random",0.076637,1020804,74,33.8743163487468
"N-t59f11xx_150",150,"best","insert","CW",20.845371,1513988,170,1.92682283788712
"N-t59f11xx_150",150,"best","insert","random",25.713803,1518942,210,1.60591242138375
"N-t59n11xx_150",150,"best","exchange","CW",8.771886,305020,135,4.37045397542012
"N-t59n11xx_150",150,"best","exchange","random",13.047237,309362,205,3.00915475294708
"N-t59n11xx_150",150,"best","transpose","CW",0.072966,248116,78,22.2109355405066
"N-t59n11xx_150",150,"best","transpose","random",0.079244,202344,79,36.561324303988
"N-t59n11xx_150",150,"best","insert","CW",25.332684,311844,207,2.23100075244545
"N-t59n11xx_150",150,"best","insert","random",26.928451,315761,220,1.00294707800351
"N-t65b11xx_150",150,"best","exchange","CW",12.128652,6274968,189,2.77149899687566
"N-t65b11xx_150",150,"best","exchange","random",12.431343,6155506,194,4.62252217131021
"N-t65b11xx_150",150,"best","transpose","CW",0.105808,5291341,108,18.0124657645469
"N-t65b11xx_150",150,"best","transpose","random",0.095721,4336920,103,32.8008954674398
"N-t65b11xx_150",150,"best","insert","CW",22.533265,6375252,184,1.21763242821788
"N-t65b11xx_150",150,"best","insert","random",25.522549,6298106,208,2.41298353413381
"N-t65d11xx_150",150,"best","exchange","CW",9.328429,3416316,145,4.01846181336071
"N-t65d11xx_150",150,"best","exchange","random",12.494835,3436373,194,3.45495957545022
"N-t65d11xx_150",150,"best","transpose","CW",0.119905,2884355,105,18.9639279339722
"N-t65d11xx_150",150,"best","transpose","random",0.108848,2398550,115,32.6126393408679
"N-t65d11xx_150",150,"best","insert","CW",21.532591,3479564,176,2.24150665838425
"N-t65d11xx_150",150,"best","insert","random",26.018921,3449880,209,3.07547985627701
"N-t65f11xx_150",150,"best","exchange","CW",9.297411,3008729,145,4.76674455247733
"N-t65f11xx_150",150,"best","exchange","random",10.875847,3053624,170,3.34571361106768
"N-t65f11xx_150",150,"best","transpose","CW",0.131978,2508408,137,20.6030653373536
"N-t65f11xx_150",150,"best","transpose","random",0.081514,2144084,90,32.1347654531378
"N-t65f11xx_150",150,"best","insert","CW",22.399852,3083198,178,2.40962787632552
"N-t65f11xx_150",150,"best","insert","random",22.858357,3094701,185,2.04553123039534
"N-t65l11xx_150",150,"best","exchange","CW",9.077987,246911,141,2.55923534704573
"N-t65l11xx_150",150,"best","exchange","random",10.737682,247080,167,2.49254131872642
"N-t65l11xx_150",150,"best","transpose","CW",0.034816,210797,35,16.8112361678953
"N-t65l11xx_150",150,"best","transpose","random",0.029392,128369,29,49.3405578620026
"N-t65l11xx_150",150,"best","insert","CW",17.55097,250182,143,1.26837045572937
"N-t65l11xx_150",150,"best","insert","random",24.905686,249865,201,1.39347108873068
"N-t65n11xx_150",150,"best","exchange","CW",9.72565,528768,151,3.98832101944136
"N-t65n11xx_150",150,"best","exchange","random",10.362614,531415,161,3.50768884377729
"N-t65n11xx_150",150,"best","transpose","CW",0.081376,424025,87,23.0071559176588
"N-t65n11xx_150",150,"best","transpose","random",0.093909,346166,98,37.1444965164608
"N-t65n11xx_150",150,"best","insert","CW",23.204418,539333,190,2.06996856916146
"N-t65n11xx_150",150,"best","insert","random",26.887692,539303,219,2.07541585486978
"N-t69r11xx_150",150,"best","exchange","CW",10.846909,11330050,169,4.43580387479476
"N-t69r11xx_150",150,"best","exchange","random",11.835105,11418554,185,3.68930993929887
"N-t69r11xx_150",150,"best","transpose","CW",0.081142,8837463,87,25.4597245924559
"N-t69r11xx_150",150,"best","transpose","random",0.082828,7609678,88,35.8155735551335
"N-t69r11xx_150",150,"best","insert","CW",24.500284,11518559,197,2.84580991648333
"N-t69r11xx_150",150,"best","insert","random",22.211154,11597668,180,2.17855884598772
"N-t70b11xx_150",150,"best","exchange","CW",10.341966,9376727,161,2.80393468424975
"N-t70b11xx_150",150,"best","exchange","random",10.60381,9287815,166,3.72556720691506
"N-t70b11xx_150",150,"best","transpose","CW",0.101098,7746001,101,19.7075035743424
"N-t70b11xx_150",150,"best","transpose","random",0.095177,6107362,89,36.6930960175196
"N-t70b11xx_150",150,"best","insert","CW",25.354991,9464642,206,1.89263673537759
"N-t70b11xx_150",150,"best","insert","random",24.724822,9420264,202,2.35264447438741
"N-t70d11xn_150",150,"best","exchange","CW",10.27543,5618497,160,3.54754995882507
"N-t70d11xn_150",150,"best","exchange","random",13.796911,5581792,215,4.17766281262945
"N-t70d11xn_150",150,"best","transpose","CW",0.134297,4736157,139,18.6946355173526
"N-t70d11xn_150",150,"best","transpose","random",0.113773,3608272,124,38.0569795062682
"N-t70d11xn_150",150,"best","insert","CW",21.466235,5701876,175,2.11618693914505
"N-t70d11xn_150",150,"best","insert","random",25.677782,5651154,208,2.9869289135536
"N-t70d11xx_150",150,"best","exchange","CW",11.491858,5964174,179,3.40132726980013
"N-t70d11xx_150",150,"best","exchange","random",12.364509,5913842,194,4.21652890473841
"N-t70d11xx_150",150,"best","transpose","CW",0.119352,4980983,119,19.3255685210242
"N-t70d11xx_150",150,"best","transpose","random",0.13154,4258714,144,31.0237897255311
"N-t70d11xx_150",150,"best","insert","CW",19.093827,6041535,155,2.14835076021456
"N-t70d11xx_150",150,"best","insert","random",25.843407,6019988,210,2.49733648754539
