"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"best","exchange","CW",0.679997,3390654,11,2.6465274770962
"N-be75eec_150",150,"best","exchange","random",0.917189,3375908,15,3.06991904280085
"N-be75eec_150",150,"best","transpose","CW",0.005363,2791789,6,19.8413186066036
"N-be75eec_150",150,"best","transpose","random",0.006694,2110005,5,39.4169048830433
"N-be75eec_150",150,"best","insert","CW",2.050864,3406798,16,2.18299611694864
"N-be75eec_150",150,"best","insert","random",1.332819,3404893,10,2.23769304714445
"N-be75eec_250",250,"best","exchange","CW",6.84857,8594800,14,3.35899130300635
"N-be75eec_250",250,"best","exchange","random",6.769734,8590678,14,3.40533958776563
"N-be75eec_250",250,"best","transpose","CW",0.028524,7112369,6,20.0276313136748
"N-be75eec_250",250,"best","transpose","random",0.033048,5668583,7,36.2617420995683
"N-be75eec_250",250,"best","insert","CW",13.230694,8729117,14,1.84871411620106
"N-be75eec_250",250,"best","insert","random",15.677776,8684528,16,2.35007842215237
"N-be75np_150",150,"best","exchange","CW",0.544694,6894112,8,3.90577510776275
"N-be75np_150",150,"best","exchange","random",0.80665,6971008,12,2.83395301997052
"N-be75np_150",150,"best","transpose","CW",0.010415,5674004,10,20.9123645778523
"N-be75np_150",150,"best","transpose","random",0.00601,4809500,6,32.9623344356438
"N-be75np_150",150,"best","insert","CW",1.092102,7073927,9,1.39940691284546
"N-be75np_150",150,"best","insert","random",1.432334,7042190,12,1.84177605558711
"N-be75np_250",250,"best","exchange","CW",6.055896,17298551,12,2.89389758837845
"N-be75np_250",250,"best","exchange","random",5.193691,17277668,10,3.01112513747559
"N-be75np_250",250,"best","transpose","CW",0.027587,14546483,6,18.3427405031258
"N-be75np_250",250,"best","transpose","random",0.032875,11908894,7,33.1489510090674
"N-be75np_250",250,"best","insert","CW",17.519604,17545849,17,1.50568045307103
"N-be75np_250",250,"best","insert","random",14.925819,17399162,15,2.32911374782812
"N-be75oi_150",150,"best","exchange","CW",0.679631,2190094,11,2.51231452539779
"N-be75oi_150",150,"best","exchange","random",1.014914,2204975,17,1.84991636004619
"N-be75oi_150",150,"best","transpose","CW",0.006518,1910448,7,14.9602009139412
"N-be75oi_150",150,"best","transpose","random",0.0072,1494458,6,33.4771697201111
"N-be75oi_150",150,"best","insert","CW",1.563734,2213370,13,1.47622960524969
"N-be75oi_150",150,"best","insert","random",1.670821,2218559,14,1.24525157420275
"N-be75oi_250",250,"best","exchange","CW",6.010856,5742953,13,2.82809280932154
"N-be75oi_250",250,"best","exchange","random",5.620547,5716077,11,3.2828400756942
"N-be75oi_250",250,"best","transpose","CW",0.023271,4874993,5,17.5141486703431
"N-be75oi_250",250,"best","transpose","random",0.021573,2961478,5,49.8912031208969
"N-be75oi_250",250,"best","insert","CW",15.859327,5802629,17,1.81836301813033
"N-be75oi_250",250,"best","insert","random",12.245533,5786349,13,2.09382385666832
"N-be75tot_150",150,"best","exchange","CW",0.694746,11901197,11,3.14550143488936
"N-be75tot_150",150,"best","exchange","random",0.58519,11781135,9,4.12259179031531
"N-be75tot_150",150,"best","transpose","CW",0.005908,9605294,7,21.8300534021522
"N-be75tot_150",150,"best","transpose","random",0.007791,7763504,8,36.8189361937097
"N-be75tot_150",150,"best","insert","CW",1.142288,11955948,9,2.69992603176492
"N-be75tot_150",150,"best","insert","random",1.952453,11869808,16,3.40095186188928
"N-be75tot_250",250,"best","exchange","CW",4.735262,29899993,10,3.41945595811491
