"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"first","exchange","CW",0.596468,3363404,10,3.42893763344041
"N-be75eec_150",150,"first","exchange","random",0.662848,3363942,10,3.41349041640873
"N-be75eec_150",150,"first","transpose","CW",0.005563,2791789,6,19.8413186066036
"N-be75eec_150",150,"first","transpose","random",0.004189,2110005,5,39.4169048830433
"N-be75eec_150",150,"first","insert","CW",2.090159,3406798,16,2.18299611694864
"N-be75eec_150",150,"first","insert","random",1.259114,3404893,10,2.23769304714445
"N-be75eec_250",250,"first","exchange","CW",6.115108,8606562,12,3.22673790044969
"N-be75eec_250",250,"first","exchange","random",8.115424,8591159,16,3.39993116346451
"N-be75eec_250",250,"first","transpose","CW",0.027754,7112369,6,20.0276313136748
"N-be75eec_250",250,"first","transpose","random",0.031387,5668583,7,36.2617420995683
"N-be75eec_250",250,"first","insert","CW",14.821682,8729117,14,1.84871411620106
"N-be75eec_250",250,"first","insert","random",15.782785,8684528,16,2.35007842215237
"N-be75np_150",150,"first","exchange","CW",0.722712,6875543,12,4.16460085095113
"N-be75np_150",150,"first","exchange","random",0.730509,6921714,12,3.52104204925202
"N-be75np_150",150,"first","transpose","CW",0.009796,5674004,10,20.9123645778523
"N-be75np_150",150,"first","transpose","random",0.006753,4809500,6,32.9623344356438
"N-be75np_150",150,"first","insert","CW",1.128554,7073927,9,1.39940691284546
"N-be75np_150",150,"first","insert","random",1.522018,7042190,12,1.84177605558711
"N-be75np_250",250,"first","exchange","CW",5.553507,17308357,12,2.83885121829529
"N-be75np_250",250,"first","exchange","random",5.131162,17258298,11,3.11985940103981
"N-be75np_250",250,"first","transpose","CW",0.026224,14546483,6,18.3427405031258
"N-be75np_250",250,"first","transpose","random",0.028805,11908894,7,33.1489510090674
"N-be75np_250",250,"first","insert","CW",15.93308,17545849,17,1.50568045307103
"N-be75np_250",250,"first","insert","random",14.152384,17399162,15,2.32911374782812
"N-be75oi_150",150,"first","exchange","CW",0.892096,2206141,15,1.79801418540739
"N-be75oi_150",150,"first","exchange","random",0.653801,2215077,11,1.40024588989083
"N-be75oi_150",150,"first","transpose","CW",0.006032,1910448,7,14.9602009139412
"N-be75oi_150",150,"first","transpose","random",0.004749,1494458,6,33.4771697201111
"N-be75oi_150",150,"first","insert","CW",1.611467,2213370,13,1.47622960524969
"N-be75oi_150",150,"first","insert","random",1.674077,2218559,14,1.24525157420275
"N-be75oi_250",250,"first","exchange","CW",5.758895,5766048,12,2.43732081509336
"N-be75oi_250",250,"first","exchange","random",5.672867,5731745,12,3.01773439889978
"N-be75oi_250",250,"first","transpose","CW",0.023724,4874993,5,17.5141486703431
"N-be75oi_250",250,"first","transpose","random",0.024561,2961478,5,49.8912031208969
"N-be75oi_250",250,"first","insert","CW",16.252666,5802629,17,1.81836301813033
"N-be75oi_250",250,"first","insert","random",12.254116,5786349,13,2.09382385666832
"N-be75tot_150",150,"first","exchange","CW",0.650591,11833603,11,3.69559593177149
"N-be75tot_150",150,"first","exchange","random",1.062107,11725284,18,4.57711922981236
"N-be75tot_150",150,"first","transpose","CW",0.005607,9605294,7,21.8300534021522
"N-be75tot_150",150,"first","transpose","random",0.009294,7763504,8,36.8189361937097
"N-be75tot_150",150,"first","insert","CW",1.152119,11955948,9,2.69992603176492
"N-be75tot_150",150,"first","insert","random",1.959997,11869808,16,3.40095186188928
"N-be75tot_250",250,"first","exchange","CW",8.099152,29891109,17,3.44815233785213
"N-be75tot_250",250,"first","exchange","random",7.869331,30078468,16,2.84296041853818
"N-be75tot_250",250,"first","transpose","CW",0.034817,25241623,8,18.4665467366444
"N-be75tot_250",250,"first","transpose","random",0.034151,20410636,8,34.071211015973
"N-be75tot_250",250,"first","insert","CW",16.016742,30372028,17,1.89472660092706
"N-be75tot_250",250,"first","insert","random",13.243909,30325244,14,2.04584450160535
