"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"ILS",250.499394,3471337,269,0.329933031433077
"N-be75np_150",150,"ILS",250.82356,7153792,241,0.28620114087388
"N-be75oi_150",150,"ILS",250.508987,2244360,232,0.0967712930229411
"N-be75tot_150",150,"ILS",250.736992,12166580,261,0.985757554277621
"N-stabu1_150",150,"ILS",250.035031,2866639,265,0.316197754171807
"N-stabu2_150",150,"ILS",251.468477,4324554,262,0.0689537561541921
"N-stabu3_150",150,"ILS",250.167789,4493606,270,0.373333451577394
"N-t59b11xx_150",150,"ILS",250.139907,3212065,282,0.848420305289315
"N-t59d11xx_150",150,"ILS",250.698882,1456734,276,0.407671582015961
"N-t59f11xx_150",150,"ILS",250.51043,1533814,279,0.642533391460829
"N-t59n11xx_150",150,"ILS",250.158774,317693,279,0.397228492600953
"N-t65b11xx_150",150,"ILS",250.427274,6424240,268,0.458579982509627
"N-t65d11xx_150",150,"ILS",250.208233,3549522,274,0.276033778105928
"N-t65f11xx_150",150,"ILS",250.253248,3149790,272,0.301836530956286
"N-t65l11xx_150",150,"ILS",250.052069,252484,306,0.359910969391782
"N-t65n11xx_150",150,"ILS",250.036157,549769,269,0.175039447427338
"N-t69r11xx_150",150,"ILS",250.931667,11819222,273,0.309844241169228
"N-t70b11xx_150",150,"ILS",251.106833,9617977,265,0.303216602404691
"N-t70d11xn_150",150,"ILS",250.592105,5815840,277,0.159772791999927
"N-t70d11xx_150",150,"ILS",250.714918,6127954,268,0.748666462159011
"N-t70f11xx_150",150,"ILS",250.897103,5120326,282,0.578066782043134
"N-t70l11xx_150",150,"ILS",250.702648,435841,289,0.233712247803654
"N-t70n11xx_150",150,"ILS",250.718297,945983,274,0.308774355499398
"N-t74d11xx_150",150,"ILS",250.606877,9357265,274,0.412716245262368
"N-t75d11xx_150",150,"ILS",250.186761,9601700,273,0.419408969378167
"N-t75e11xx_150",150,"ILS",250.035098,41286258,267,0.683025455282346
"N-t75k11xx_150",150,"ILS",250.555822,1535987,265,0.363843704835768
"N-t75n11xx_150",150,"ILS",250.322939,1739524,258,0.204808231799318
"N-tiw56n54_150",150,"ILS",250.672017,834447,277,0.417449832626246
"N-tiw56n58_150",150,"ILS",250.383467,1150456,274,0.427214313410513
"N-tiw56n62_150",150,"ILS",250.348155,1618351,274,0.526761901776423
"N-tiw56n66_150",150,"ILS",251.055273,2097738,274,0.468822875481764
"N-tiw56n67_150",150,"ILS",250.844555,2368667,270,0.179483051726013
"N-tiw56n72_150",150,"ILS",250.117247,4124020,275,0.287409750751165
"N-tiw56r54_150",150,"ILS",250.990219,953551,274,0.484349691919782
"N-tiw56r58_150",150,"ILS",251.123721,1211367,275,0.650211802722065
"N-tiw56r66_150",150,"ILS",250.585272,1932132,272,0.444311620992861
"N-tiw56r67_150",150,"ILS",250.12453,2050252,276,0.2963993917369
"N-tiw56r72_150",150,"ILS",250.763783,2810757,266,0.460414808917761
