"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"ILS",100.829345,3462670,67,0.578782529599509
"N-be75np_150",150,"ILS",101.368969,7129398,63,0.626219191352497
"N-be75oi_150",150,"ILS",100.44808,2237858,81,0.386194911806365
"N-be75tot_150",150,"ILS",100.346312,12246800,75,0.332909956267675
"N-stabu1_150",150,"ILS",101.031197,2852931,58,0.792876387646693
"N-stabu2_150",150,"ILS",102.207221,4302742,61,0.572981681501121
"N-stabu3_150",150,"ILS",101.411431,4492112,63,0.406456569141182
"N-t59b11xx_150",150,"ILS",100.294549,3210280,79,0.903520550693769
"N-t59d11xx_150",150,"ILS",101.564222,1458726,69,0.271484798287
"N-t59f11xx_150",150,"ILS",102.30277,1531195,62,0.81218708157434
"N-t59n11xx_150",150,"ILS",101.571568,316979,62,0.621081013293203
"N-t65b11xx_150",150,"ILS",100.307441,6428496,61,0.39263470593303
"N-t65d11xx_150",150,"ILS",100.944717,3540332,60,0.534227205158699
"N-t65f11xx_150",150,"ILS",102.517587,3135849,57,0.743101534947644
"N-t65l11xx_150",150,"ILS",101.136459,252407,72,0.390298189395255
"N-t65n11xx_150",150,"ILS",100.506592,545745,51,0.905702037103279
"N-t69r11xx_150",150,"ILS",100.86389,11749781,52,0.895549806734286
"N-t70b11xx_150",150,"ILS",100.81299,9563646,46,0.866393862942406
"N-t70d11xn_150",150,"ILS",101.020608,5784316,44,0.70094368433964
"N-t70d11xx_150",150,"ILS",100.850247,6117729,55,0.914275552146375
"N-t70f11xx_150",150,"ILS",101.047424,5102827,57,0.917846790070168
"N-t70l11xx_150",150,"ILS",100.367718,433955,61,0.665427526312657
"N-t70n11xx_150",150,"ILS",100.248009,943243,57,0.59752580057392
"N-t74d11xx_150",150,"ILS",100.027906,9316032,63,0.851549865028303
"N-t75d11xx_150",150,"ILS",100.768894,9582607,63,0.617425177398378
"N-t75e11xx_150",150,"ILS",100.954035,41198717,60,0.893611439331061
"N-t75k11xx_150",150,"ILS",100.520378,1532563,62,0.585951183059634
"N-t75n11xx_150",150,"ILS",100.380121,1730630,60,0.715050364466862
"N-tiw56n54_150",150,"ILS",101.102014,832120,63,0.695153023169778
"N-tiw56n58_150",150,"ILS",100.983457,1146215,65,0.794275882124855
"N-tiw56n62_150",150,"ILS",100.95423,1619469,79,0.45804313792741
"N-tiw56n66_150",150,"ILS",101.684349,2093928,56,0.649595586299042
"N-tiw56n67_150",150,"ILS",101.282016,2355656,55,0.727793449943235
"N-tiw56n72_150",150,"ILS",100.961345,4112356,52,0.569427697479658
"N-tiw56r54_150",150,"ILS",101.23267,951149,55,0.735030140097183
"N-tiw56r58_150",150,"ILS",100.134897,1209551,63,0.799150328673537
"N-tiw56r66_150",150,"ILS",100.797303,1926757,50,0.721265692990614
"N-tiw56r67_150",150,"ILS",100.144702,2048075,57,0.402266738055396
"N-tiw56r72_150",150,"ILS",100.142945,2794552,75,1.03429543183233
