"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"ILS",100.126483,3469924,100,0.370503510365714
"N-be75np_150",150,"ILS",100.305363,7149855,105,0.341077383586609
"N-be75oi_150",150,"ILS",100.593428,2238685,100,0.34938264900509
"N-be75tot_150",150,"ILS",100.439036,12127862,94,1.3008529581638
"N-stabu1_150",150,"ILS",101.165839,2856502,100,0.668699308558656
"N-stabu2_150",150,"ILS",100.663368,4322203,101,0.123280257735461
"N-stabu3_150",150,"ILS",100.359036,4494114,103,0.362070704775249
"N-t59b11xx_150",150,"ILS",100.527695,3204615,107,1.07839051720146
"N-t59d11xx_150",150,"ILS",100.498932,1456446,105,0.427361237494847
"N-t59f11xx_150",150,"ILS",100.526667,1531577,109,0.787441869805206
"N-t59n11xx_150",150,"ILS",100.645225,316773,107,0.685665914221219
"N-t65b11xx_150",150,"ILS",100.998023,6414805,103,0.604772107627154
"N-t65d11xx_150",150,"ILS",100.597246,3548482,104,0.305252620775665
"N-t65f11xx_150",150,"ILS",100.748554,3138220,106,0.66805388237871
"N-t65l11xx_150",150,"ILS",100.414984,252349,113,0.413187264203066
"N-t65n11xx_150",150,"ILS",100.157175,548087,100,0.480450599473792
"N-t69r11xx_150",150,"ILS",100.120479,11798307,76,0.486253450480632
"N-t70b11xx_150",150,"ILS",100.867764,9601472,77,0.474301999050712
"N-t70d11xn_150",150,"ILS",100.756683,5814738,68,0.178690769520495
"N-t70d11xx_150",150,"ILS",100.511078,6114141,68,0.972388551156122
"N-t70f11xx_150",150,"ILS",101.866125,5115018,70,0.681132801964701
"N-t70l11xx_150",150,"ILS",100.432774,432942,68,0.897308532213834
"N-t70n11xx_150",150,"ILS",101.494641,944559,68,0.458840799946887
"N-t74d11xx_150",150,"ILS",101.728857,9320761,71,0.801220173085609
"N-t75d11xx_150",150,"ILS",101.680771,9532910,72,1.13283980527144
"N-t75e11xx_150",150,"ILS",102.153318,41224035,70,0.832707223659029
"N-t75k11xx_150",150,"ILS",100.663554,1533931,89,0.497211980311314
"N-t75n11xx_150",150,"ILS",100.177912,1737746,99,0.306810762930743
"N-tiw56n54_150",150,"ILS",100.707661,832419,109,0.659470490306643
"N-tiw56n58_150",150,"ILS",100.965111,1149025,104,0.551068381986374
"N-tiw56n62_150",150,"ILS",100.230783,1617834,104,0.558539720121629
"N-tiw56n66_150",150,"ILS",100.806129,2096916,104,0.507824231988799
"N-tiw56n67_150",150,"ILS",100.664147,2367527,101,0.227525004993835
"N-tiw56n72_150",150,"ILS",100.647127,4123236,103,0.306365689557333
"N-tiw56r54_150",150,"ILS",100.550915,953538,104,0.485706413745888
"N-tiw56r58_150",150,"ILS",100.280067,1208645,105,0.87345556243567
"N-tiw56r66_150",150,"ILS",100.533578,1928426,105,0.635268233239126
"N-tiw56r67_150",150,"ILS",100.339595,2043766,101,0.611813084075791
"N-tiw56r72_150",150,"ILS",101.178692,2809650,73,0.499617885102052
