"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"memetic",175.963285,3457442,9,0.728890430420337
"N-be75np_150",150,"memetic",186.151887,7114504,9,0.833820603332021
"N-be75oi_150",150,"memetic",180.725795,2231585,9,0.665425050321963
"N-be75tot_150",150,"memetic",175.938092,12165729,9,0.992683175144069
"N-stabu1_150",150,"memetic",183.733706,2848408,10,0.950158081490208
"N-stabu2_150",150,"memetic",182.507897,4299845,9,0.639925056695054
"N-stabu3_150",150,"memetic",183.183948,4480505,10,0.663792596961054
"N-t59b11xx_150",150,"memetic",183.449844,3212660,13,0.830053556821163
"N-t59d11xx_150",150,"memetic",181.614683,1454048,12,0.591304966100293
"N-t59f11xx_150",150,"memetic",179.183092,1530418,12,0.862519619649253
"N-t59n11xx_150",150,"memetic",175.532138,317109,16,0.580323551542513
"N-t65b11xx_150",150,"memetic",178.117229,6410601,15,0.669911661839563
"N-t65d11xx_150",150,"memetic",176.205171,3533694,16,0.7207220875065
"N-t65f11xx_150",150,"memetic",180.176088,3138698,16,0.65292407304596
"N-t65l11xx_150",150,"memetic",175.136752,252075,18,0.52131841070893
"N-t65n11xx_150",150,"memetic",177.897451,545193,16,1.00593209413636
"N-t69r11xx_150",150,"memetic",176.983708,11770071,16,0.724412208984901
"N-t70b11xx_150",150,"memetic",176.00573,9562626,16,0.876966847164092
"N-t70d11xn_150",150,"memetic",179.724877,5768496,16,0.972524813536894
"N-t70d11xx_150",150,"memetic",178.115494,6118939,16,0.894677801644203
"N-t70f11xx_150",150,"memetic",180.924431,5109016,17,0.797674296231702
"N-t70l11xx_150",150,"memetic",176.295581,433598,17,0.747146696210703
"N-t70n11xx_150",150,"memetic",179.0528,941282,16,0.804183312906452
"N-t74d11xx_150",150,"memetic",181.054908,9345263,17,0.540450853571993
"N-t75d11xx_150",150,"memetic",176.764073,9572001,16,0.727421506014225
"N-t75e11xx_150",150,"memetic",179.188678,41248171,16,0.774646391466116
"N-t75k11xx_150",150,"memetic",180.816102,1533694,16,0.512585657980431
"N-t75n11xx_150",150,"memetic",177.381456,1730963,14,0.695946403349446
"N-tiw56n54_150",150,"memetic",179.34361,830490,15,0.889676530082523
"N-tiw56n58_150",150,"memetic",183.467832,1145186,9,0.883336564559907
"N-tiw56n62_150",150,"memetic",181.017852,1610056,8,1.03662070868837
"N-tiw56n66_150",150,"memetic",175.709411,2084857,8,1.07998646814249
"N-tiw56n67_150",150,"memetic",222.196184,2349447,6,0.989453526995785
"N-tiw56n72_150",150,"memetic",181.312646,4105667,16,0.731157639666463
"N-tiw56r54_150",150,"memetic",187.970884,949537,10,0.903263646534306
"N-tiw56r58_150",150,"memetic",189.254888,1207748,9,0.94702266473659
"N-tiw56r66_150",150,"memetic",178.445263,1922052,9,0.963697117874229
"N-tiw56r67_150",150,"memetic",182.758797,2040796,17,0.756243960771212
"N-tiw56r72_150",150,"memetic",176.793075,2806661,16,0.605469732179599
