"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"memetic",101.115003,3454896,27,0.801991944477304
"N-be75np_150",150,"memetic",102.164179,7127221,27,0.656563509459078
"N-be75oi_150",150,"memetic",101.03518,2232192,27,0.638405650660083
"N-be75tot_150",150,"memetic",103.797126,12167069,25,0.98177796719925
"N-stabu1_150",150,"memetic",103.080013,2867983,18,0.269461827458192
"N-stabu2_150",150,"memetic",100.691624,4306037,27,0.49684139110968
"N-stabu3_150",150,"memetic",102.885887,4485290,28,0.557705503558961
"N-t59b11xx_150",150,"memetic",102.030337,3204680,29,1.07638406568814
"N-t59d11xx_150",150,"memetic",101.280209,1455961,29,0.460519164256165
"N-t59f11xx_150",150,"memetic",100.261907,1531908,28,0.766000338141375
"N-t59n11xx_150",150,"memetic",100.115081,316102,27,0.896037120642087
"N-t65b11xx_150",150,"memetic",102.178841,6413916,28,0.618546861122594
"N-t65d11xx_150",150,"memetic",101.660933,3538385,28,0.58892825004137
"N-t65f11xx_150",150,"memetic",101.829388,3137067,28,0.704549008237833
"N-t65l11xx_150",150,"memetic",101.106418,251671,31,0.680752655921956
"N-t65n11xx_150",150,"memetic",103.477459,546253,29,0.813461332442399
"N-t69r11xx_150",150,"memetic",101.924747,11785443,28,0.594755868294732
"N-t70b11xx_150",150,"memetic",100.896247,9610314,27,0.382648737787814
"N-t70d11xn_150",150,"memetic",102.123325,5777680,28,0.814863556233002
"N-t70d11xx_150",150,"memetic",101.651878,6124271,25,0.808318127530499
"N-t70f11xx_150",150,"memetic",102.971187,5096414,28,1.04236871655039
"N-t70l11xx_150",150,"memetic",101.028407,435168,29,0.38776547284955
"N-t70n11xx_150",150,"memetic",100.890439,942579,27,0.667500603321906
"N-t74d11xx_150",150,"memetic",101.610664,9319150,28,0.81836568666558
"N-t75d11xx_150",150,"memetic",101.716777,9571615,27,0.731424766701168
"N-t75e11xx_150",150,"memetic",100.262964,41209525,27,0.867612041156508
"N-t75k11xx_150",150,"memetic",101.969006,1531807,27,0.634991268788969
"N-t75n11xx_150",150,"memetic",101.754401,1727169,25,0.913605347732251
"N-tiw56n54_150",150,"memetic",103.0321,831195,27,0.805542129853391
"N-tiw56n58_150",150,"memetic",100.119023,1145563,27,0.850706946213926
"N-tiw56n62_150",150,"memetic",101.490122,1613932,27,0.798379269798595
"N-tiw56n66_150",150,"memetic",100.471622,2090679,27,0.803750583003854
"N-tiw56n67_150",150,"memetic",100.23143,2355440,27,0.736896135825559
"N-tiw56n72_150",150,"memetic",100.80769,4102950,28,0.796850606166918
"N-tiw56r54_150",150,"memetic",100.718277,948768,26,0.983518960709336
"N-tiw56r58_150",150,"memetic",102.419998,1213661,29,0.46207029471949
"N-tiw56r66_150",150,"memetic",102.617605,1924120,28,0.857140648871187
"N-tiw56r67_150",150,"memetic",102.549273,2040585,27,0.766504874906813
"N-tiw56r72_150",150,"memetic",102.332151,2798761,27,0.885238749212928
