"instance","size","algorithm","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"memetic",105.180261,3455280,3,0.790966421540197
"N-be75np_150",150,"memetic",109.150183,7090042,3,1.17478647817042
"N-be75oi_150",150,"memetic",112.316058,2228982,3,0.781292426466726
"N-be75tot_150",150,"memetic",104.660328,12130485,3,1.27950642052256
"N-stabu1_150",150,"memetic",105.009169,2841603,3,1.18679348423288
"N-stabu2_150",150,"memetic",104.365098,4293914,3,0.776977579399649
"N-stabu3_150",150,"memetic",107.719086,4478359,3,0.711371050971689
"N-t59b11xx_150",150,"memetic",102.2349,3199110,3,1.24832152613789
"N-t59d11xx_150",150,"memetic",103.219779,1445469,3,1.17782425204947
"N-t59f11xx_150",150,"memetic",108.463433,1526504,4,1.11606087322095
"N-t59n11xx_150",150,"memetic",107.988557,316419,4,0.796651617757713
"N-t65b11xx_150",150,"memetic",105.205149,6378385,4,1.16908765577557
"N-t65d11xx_150",150,"memetic",104.262614,3524289,4,0.984955948380419
"N-t65f11xx_150",150,"memetic",107.416342,3121057,4,1.21130266392262
"N-t65l11xx_150",150,"memetic",102.478125,251146,5,0.887938246854725
"N-t65n11xx_150",150,"memetic",104.711997,543774,4,1.26358870813988
"N-t69r11xx_150",150,"memetic",108.647219,11684708,5,1.4444131334147
"N-t70b11xx_150",150,"memetic",100.706246,9533693,4,1.1768768005818
"N-t70d11xn_150",150,"memetic",106.278112,5753942,4,1.22237258561887
"N-t70d11xx_150",150,"memetic",110.182772,6087890,4,1.39756255812515
"N-t70f11xx_150",150,"memetic",111.327007,5105877,5,0.858624604546283
"N-t70l11xx_150",150,"memetic",102.523196,430765,4,1.39563523492545
"N-t70n11xx_150",150,"memetic",105.279272,936823,4,1.27408940545656
"N-t74d11xx_150",150,"memetic",104.158004,9288782,4,1.14156553545301
"N-t75d11xx_150",150,"memetic",101.164895,9516071,4,1.30747945995391
"N-t75e11xx_150",150,"memetic",105.649069,41221474,4,0.838867887863787
"N-t75k11xx_150",150,"memetic",105.448449,1528352,4,0.859109649999092
"N-t75n11xx_150",150,"memetic",112.613174,1719277,4,1.36636348928973
"N-tiw56n54_150",150,"memetic",102.552099,828202,4,1.16272547720912
"N-tiw56n58_150",150,"memetic",101.676471,1144017,4,0.984514346645987
"N-tiw56n62_150",150,"memetic",101.890528,1608934,3,1.10558533573542
"N-tiw56n66_150",150,"memetic",103.312646,2084857,7,1.07998646814249
"N-tiw56n67_150",150,"memetic",104.028307,2352020,7,0.881021995629025
"N-tiw56n72_150",150,"memetic",104.46351,4097187,7,0.936191263488275
"N-tiw56r54_150",150,"memetic",103.571891,948820,7,0.978092073404913
"N-tiw56r58_150",150,"memetic",101.563927,1203808,7,1.27016021553439
"N-tiw56r66_150",150,"memetic",101.159244,1920780,7,1.02923862105212
"N-tiw56r67_150",150,"memetic",103.879799,2038308,7,0.877235213706636
"N-tiw56r72_150",150,"memetic",102.031818,2795068,7,1.0160219112261
