"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"first","VND1","CW",2.600051,3418753,60,1.83974057863323
"N-be75eec_150",150,"first","VND2","CW",1.414108,3417845,27,1.86581134641159
"N-be75eec_250",250,"first","VND1","CW",29.595516,8725817,87,1.88581972990936
"N-be75eec_250",250,"first","VND2","CW",13.236024,8719927,40,1.95204762831599
"N-be75np_150",150,"first","VND1","CW",3.701153,7087954,79,1.20389026145317
"N-be75np_150",150,"first","VND2","CW",1.31271,7005363,31,2.35509263937722
"N-be75np_250",250,"first","VND1","CW",26.780172,17382127,81,2.42474039624405
"N-be75np_250",250,"first","VND2","CW",14.155205,17436473,42,2.11966696889964
"N-be75oi_150",150,"first","VND1","CW",2.639006,2221680,60,1.10632645666614
"N-be75oi_150",150,"first","VND2","CW",1.341974,2217993,27,1.27044594027956
"N-be75oi_250",250,"first","VND1","CW",29.085819,5796610,83,1.92020569547432
"N-be75oi_250",250,"first","VND2","CW",13.483263,5793009,36,1.98113533181187
"N-be75tot_150",150,"first","VND1","CW",2.511192,12055359,79,1.89089795191243
"N-be75tot_150",150,"first","VND2","CW",1.290528,11973504,29,2.55705153125803
"N-be75tot_250",250,"first","VND1","CW",20.40008,30293877,76,2.1471636532507
"N-be75tot_250",250,"first","VND2","CW",11.80458,30341475,53,1.99341643547357
"N-stabu1_150",150,"first","VND1","CW",1.79515,2816955,55,2.0438969973558
"N-stabu1_150",150,"first","VND2","CW",1.446406,2843306,36,1.12757377947597
"N-stabu1_250",250,"first","VND1","CW",26.390651,7597852,90,1.86752400146517
"N-stabu1_250",250,"first","VND2","CW",9.984948,7558373,40,2.37742759263096
"N-stabu2_150",150,"first","VND1","CW",1.769609,4265459,50,1.43451080036732
"N-stabu2_150",150,"first","VND2","CW",1.30897,4271522,37,1.29440804448164
"N-stabu2_250",250,"first","VND1","CW",33.455197,11277773,102,1.93622891908211
"N-stabu2_250",250,"first","VND2","CW",15.656323,11268600,63,2.01599102921904
"N-stabu3_150",150,"first","VND1","CW",2.907143,4459457,74,1.13044278336173
"N-stabu3_150",150,"first","VND2","CW",1.316879,4425967,29,1.87294158336927
"N-stabu3_250",250,"first","VND1","CW",25.196008,11623837,90,2.32328303914644
"N-stabu3_250",250,"first","VND2","CW",13.759242,11602954,47,2.49876578897281
"N-t59b11xx_150",150,"first","VND1","CW",1.464397,3154215,31,2.63416215215076
"N-t59b11xx_150",150,"first","VND2","CW",1.094636,3162700,22,2.37224305844948
"N-t59b11xx_250",250,"first","VND1","CW",16.46024,8206600,46,2.44070609409754
"N-t59b11xx_250",250,"first","VND2","CW",13.04896,8225465,40,2.21644073700265
"N-t59d11xx_150",150,"first","VND1","CW",2.698365,1432304,50,2.07787395475618
"N-t59d11xx_150",150,"first","VND2","CW",1.418936,1441793,29,1.42914082684247
"N-t59d11xx_250",250,"first","VND1","CW",24.260783,3783249,71,1.50782301316241
"N-t59d11xx_250",250,"first","VND2","CW",11.761467,3760697,35,2.0949362524462
"N-t59f11xx_150",150,"first","VND1","CW",2.00246,1526767,41,1.09902424836419
"N-t59f11xx_150",150,"first","VND2","CW",1.167721,1513623,24,1.95046682295449
"N-t59f11xx_250",250,"first","VND1","CW",28.209005,3905715,77,2.18609739128867
"N-t59f11xx_250",250,"first","VND2","CW",11.272508,3907074,32,2.15206288194909
"N-t59n11xx_150",150,"first","VND1","CW",1.897136,312761,40,1.94350388763481
"N-t59n11xx_150",150,"first","VND2","CW",1.868003,311928,34,2.20466516177577
"N-t59n11xx_250",250,"first","VND1","CW",17.227001,807121,55,2.23919826358272
"N-t59n11xx_250",250,"first","VND2","CW",15.896163,803909,38,2.62824488134805
"N-t65b11xx_150",150,"first","VND1","CW",2.203588,6358396,56,1.47881043150151
"N-t65b11xx_150",150,"first","VND2","CW",1.326431,6339799,32,1.76696463932458
"N-t65b11xx_250",250,"first","VND1","CW",17.886194,16861848,65,2.3859447460796
"N-t65b11xx_250",250,"first","VND2","CW",14.091266,17023325,40,1.45114656736056
"N-t65d11xx_150",150,"first","VND1","CW",2.924102,3472515,57,2.4395486025948
"N-t65d11xx_150",150,"first","VND2","CW",1.867625,3456975,33,2.87614554017914
"N-t65d11xx_250",250,"first","VND1","CW",29.312885,9189315,76,1.73638022450687
"N-t65d11xx_250",250,"first","VND2","CW",23.363107,9177204,49,1.86588614514415
"N-t65f11xx_150",150,"first","VND1","CW",4.909638,3104093,62,1.74825263363135
"N-t65f11xx_150",150,"first","VND2","CW",1.805833,3111053,34,1.52795248100386
"N-t65f11xx_250",250,"first","VND1","CW",35.442192,8239470,100,2.02266061974416
"N-t65f11xx_250",250,"first","VND2","CW",18.493674,8250602,54,1.89028757366461
"N-t65l11xx_150",150,"first","VND1","CW",2.244686,250127,33,1.29007561287471
"N-t65l11xx_150",150,"first","VND2","CW",1.851666,249594,26,1.50041831757407
"N-t65l11xx_250",250,"first","VND1","CW",14.696003,654427,31,1.7751488171178
"N-t65l11xx_250",250,"first","VND2","CW",13.052075,657183,27,1.36149276402093
"N-t65n11xx_150",150,"first","VND1","CW",2.711711,538574,48,2.20778489758195
"N-t65n11xx_150",150,"first","VND2","CW",1.70495,541019,39,1.7638311123539
"N-t65n11xx_250",250,"first","VND1","CW",22.975108,1390957,77,2.68686308996601
"N-t65n11xx_250",250,"first","VND2","CW",11.925099,1389371,35,2.79782168547926
"N-t69r11xx_150",150,"first","VND1","CW",2.096316,11530434,53,2.74564929680497
"N-t69r11xx_150",150,"first","VND2","CW",1.620393,11526651,34,2.77755730726756
"N-t69r11xx_250",250,"first","VND1","CW",24.472762,31133195,84,2.14588121226202
"N-t69r11xx_250",250,"first","VND2","CW",12.405438,31115840,36,2.20042936357001
"N-t70b11xx_150",150,"first","VND1","CW",2.684664,9414607,62,2.41128307413455
"N-t70b11xx_150",150,"first","VND2","CW",1.308116,9474515,28,1.79029646751414
"N-t70b11xx_250",250,"first","VND1","CW",22.720201,24894008,79,2.00384245274533
"N-t70b11xx_250",250,"first","VND2","CW",13.717283,24817500,41,2.30501894556342
"N-t70d11xn_150",150,"first","VND1","CW",2.093508,5729222,59,1.64673955867552
"N-t70d11xn_150",150,"first","VND2","CW",1.343278,5713048,37,1.92439778772965
"N-t70d11xn_250",250,"first","VND1","CW",22.62161,14907047,82,1.97287273683288
"N-t70d11xn_250",250,"first","VND2","CW",16.289321,14968260,64,1.57034267563697
"N-t70d11xx_150",150,"first","VND1","CW",1.434472,6048042,46,2.04296021267932
"N-t70d11xx_150",150,"first","VND2","CW",1.491301,6044559,38,2.09937258044715
"N-t70d11xx_250",250,"first","VND1","CW",23.979272,15664312,74,2.34568912558865
"N-t70d11xx_250",250,"first","VND2","CW",15.5713,15781437,52,1.61550951979649
"N-t70f11xx_150",150,"first","VND1","CW",1.939151,5047757,48,1.98714703820142
"N-t70f11xx_150",150,"first","VND2","CW",1.204001,5022972,22,2.46840010974551
"N-t70f11xx_250",250,"first","VND1","CW",20.56719,13294127,63,2.14930883580945
"N-t70f11xx_250",250,"first","VND2","CW",13.877666,13245513,42,2.50712951107876
"N-t70l11xx_150",150,"first","VND1","CW",2.181531,423958,41,2.95379318869574
"N-t70l11xx_150",150,"first","VND2","CW",1.19229,425249,19,2.65827652668348
"N-t70l11xx_250",250,"first","VND1","CW",24.254973,1086621,58,2.38130745071546
"N-t70l11xx_250",250,"first","VND2","CW",10.803983,1086982,22,2.34887631970447
"N-t70n11xx_150",150,"first","VND1","CW",2.011644,928450,48,2.1564674527591
"N-t70n11xx_150",150,"first","VND2","CW",1.188332,928164,27,2.1866072021355
"N-t70n11xx_250",250,"first","VND1","CW",28.943352,2405174,88,1.60432664182066
"N-t70n11xx_250",250,"first","VND2","CW",18.238972,2401754,53,1.74423884895618
"N-t74d11xx_150",150,"first","VND1","CW",1.864316,9205808,62,2.02463930564821
"N-t74d11xx_150",150,"first","VND2","CW",1.818878,9201506,45,2.07042453185617
"N-t74d11xx_250",250,"first","VND1","CW",18.365387,23964752,79,1.90541644068317
"N-t74d11xx_250",250,"first","VND2","CW",11.166885,23913093,50,2.11687150151963
"N-t75d11xx_150",150,"first","VND1","CW",1.785924,9443928,50,2.05568473388688
"N-t75d11xx_150",150,"first","VND2","CW",1.448925,9414894,39,2.35680046130838
"N-t75d11xx_250",250,"first","VND1","CW",20.451239,24486218,77,2.12191608933728
"N-t75d11xx_250",250,"first","VND2","CW",16.161806,24659532,59,1.42913281693104
"N-t75e11xx_150",150,"first","VND1","CW",2.530017,40895961,61,1.6219121234294
"N-t75e11xx_150",150,"first","VND2","CW",1.473371,40665991,39,2.17512100557243
"N-t75e11xx_250",250,"first","VND1","CW",21.951743,104581548,75,2.1448926930489
"N-t75e11xx_250",250,"first","VND2","CW",11.030931,105243315,49,1.52568899951399
"N-t75k11xx_150",150,"first","VND1","CW",2.077261,1509531,45,2.07998723400943
"N-t75k11xx_150",150,"first","VND2","CW",1.550855,1500033,34,2.6961019618629
"N-t75k11xx_250",250,"first","VND1","CW",21.49806,4018479,78,1.84105471403562
"N-t75k11xx_250",250,"first","VND2","CW",18.897275,4021417,48,1.76928851064121
"N-t75n11xx_150",150,"first","VND1","CW",2.406975,1709793,68,1.91045348099414
"N-t75n11xx_150",150,"first","VND2","CW",1.595117,1701310,36,2.39711685084109
"N-t75n11xx_250",250,"first","VND1","CW",27.082052,4416004,93,2.40750047182925
"N-t75n11xx_250",250,"first","VND2","CW",14.715239,4410130,45,2.53731429043731
"N-tiw56n54_150",150,"first","VND1","CW",2.722442,822263,55,1.87148321190532
"N-tiw56n54_150",150,"first","VND2","CW",1.216589,818929,27,2.26936135426549
"N-tiw56n54_250",250,"first","VND1","CW",18.98744,2054398,72,2.11213850688465
"N-tiw56n54_250",250,"first","VND2","CW",10.068768,2046514,35,2.4877949765715
"N-tiw56n58_150",150,"first","VND1","CW",2.576942,1132501,69,1.98123234365479
"N-tiw56n58_150",150,"first","VND2","CW",1.803631,1139386,39,1.38533069295962
"N-tiw56n58_250",250,"first","VND1","CW",25.338957,2862890,83,1.50575042050025
"N-tiw56n58_250",250,"first","VND2","CW",13.943384,2846291,45,2.07681883345713
"N-tiw56n62_150",150,"first","VND1","CW",2.588155,1590244,59,2.25438112852437
"N-tiw56n62_150",150,"first","VND2","CW",1.45226,1600329,39,1.63449854049459
"N-tiw56n62_250",250,"first","VND1","CW",17.602039,4062281,75,1.94228705846003
"N-tiw56n62_250",250,"first","VND2","CW",11.238288,4049830,40,2.24283657333483
"N-tiw56n66_150",150,"first","VND1","CW",2.132508,2055561,52,2.46999101830075
"N-tiw56n66_150",150,"first","VND2","CW",1.30982,2061320,30,2.19674428822287
"N-tiw56n66_250",250,"first","VND1","CW",23.319298,5270901,96,1.8528028803792
"N-tiw56n66_250",250,"first","VND2","CW",13.81021,5278118,49,1.71841820466393
"N-tiw56n67_150",150,"first","VND1","CW",2.455709,2319782,53,2.23959786356591
"N-tiw56n67_150",150,"first","VND2","CW",1.680373,2330234,41,1.79912900781567
"N-tiw56n67_250",250,"first","VND1","CW",19.72919,6220230,67,1.65423476700979
"N-tiw56n67_250",250,"first","VND2","CW",13.8295,6196246,45,2.03343695621309
"N-tiw56n72_150",150,"first","VND1","CW",2.205922,4046206,63,2.16883503425004
"N-tiw56n72_150",150,"first","VND2","CW",1.55762,4063056,36,1.76142742087769
"N-tiw56n72_250",250,"first","VND1","CW",20.238944,10964080,83,1.66485107320319
"N-tiw56n72_250",250,"first","VND2","CW",11.988388,10970255,44,1.60946844697071
"N-tiw56r54_150",150,"first","VND1","CW",2.752865,940322,68,1.86497069480856
"N-tiw56r54_150",150,"first","VND2","CW",1.200544,939369,34,1.96442884098385
"N-tiw56r54_250",250,"first","VND1","CW",24.146432,2330803,83,2.36856865083404
"N-tiw56r54_250",250,"first","VND2","CW",9.457784,2327912,37,2.48966531495814
"N-tiw56r58_150",150,"first","VND1","CW",2.312624,1187491,54,2.60839255471399
"N-tiw56r58_150",150,"first","VND2","CW",2.443705,1203650,50,1.28311852340902
"N-tiw56r58_250",250,"first","VND1","CW",18.007635,2990000,75,2.29789469935036
"N-tiw56r58_250",250,"first","VND2","CW",17.310096,2994451,63,2.15245253523893
"N-tiw56r66_150",150,"first","VND1","CW",2.044,1903337,55,1.92801255181617
"N-tiw56r66_150",150,"first","VND2","CW",1.669981,1898179,37,2.19378540825607
"N-tiw56r66_250",250,"first","VND1","CW",20.637688,4846555,75,2.05841710091355
"N-tiw56r66_250",250,"first","VND2","CW",15.662374,4880203,56,1.37844165827677
"N-tiw56r67_150",150,"first","VND1","CW",3.913427,2022329,72,1.65429278229793
"N-tiw56r67_150",150,"first","VND2","CW",1.787885,2015820,34,1.97082496290752
"N-tiw56r67_250",250,"first","VND1","CW",20.344479,5217469,72,1.36471960947192
"N-tiw56r67_250",250,"first","VND2","CW",10.071969,5185426,39,1.97048656075686
"N-tiw56r72_150",150,"first","VND1","CW",1.69067,2750916,40,2.57961199224579
"N-tiw56r72_150",150,"first","VND2","CW",1.427319,2760183,29,2.25143231112581
"N-tiw56r72_250",250,"first","VND1","CW",22.726249,7313318,71,1.8554590912879
"N-tiw56r72_250",250,"first","VND2","CW",11.792856,7314407,46,1.84084473908148
