Generation,Time,Cost
0,2.707734,3417279
1,3.919194,3429086
2,5.313086,3447768
3,6.922889,3452542
4,7.939477,3452542
5,8.736130,3453845
6,9.619764,3459509
7,10.664857,3459509
8,11.433351,3459509
9,12.336130,3459509
10,13.392252,3459200
11,14.526840,3459166
12,15.406808,3459166
13,16.295333,3459166
14,16.967931,3459166
15,17.743273,3459166
16,19.005752,3459166
17,19.781890,3459166
18,20.919592,3462133
19,21.806483,3462133
20,22.580030,3462133
21,23.850923,3462133
22,24.744004,3462133
23,25.516187,3462133
24,26.215748,3462133
25,27.241659,3462133
26,28.367097,3462133
27,29.162838,3462133
28,29.930032,3462133
29,30.935436,3462133
30,31.751290,3462133
31,32.655576,3462133
32,33.696488,3462578
33,34.594159,3462535
34,35.359124,3462535
35,36.745694,3462535
36,37.631124,3462535
37,38.904778,3462535
38,39.797690,3462535
39,40.684253,3462535
40,41.816083,3462535
41,42.892636,3462535
42,43.549610,3462535
43,44.587766,3462535
44,45.357398,3462535
45,46.473468,3463334
46,47.283758,3463334
47,48.171518,3463334
48,49.283441,3463334
49,50.429138,3463334
50,51.426694,3463334
51,52.110491,3463334
52,52.886373,3463334
53,53.656759,3464088
54,54.441892,3464088
55,55.463444,3464088
56,56.584034,3464088
57,57.524598,3464088
58,58.644731,3464088
59,59.534626,3464088
60,60.456456,3464088
61,61.566952,3464088
62,62.596062,3464088
63,63.608300,3464088
64,64.741063,3464088
65,65.566311,3465582
66,66.461221,3465582
67,67.348200,3465582
68,68.388415,3465582
69,69.158601,3465582
70,70.042732,3465582
71,71.122464,3465582
72,72.140475,3465582
73,72.924173,3465582
74,73.848157,3465582
75,74.743701,3465582
76,75.518443,3465318
77,76.536860,3466683
78,77.303643,3466683
79,78.193298,3467306
80,79.462487,3467306
81,80.475923,3467306
82,81.260279,3467306
83,82.158083,3467306
84,82.964957,3467306
85,83.802143,3467306
86,84.706246,3467306
87,85.841296,3467306
88,86.748906,3467306
89,87.645635,3467306
90,88.672689,3467306
91,89.565475,3467306
92,90.556412,3467306
93,91.608023,3467306
94,92.375840,3469924
95,93.148021,3469924
96,93.943395,3469924
97,94.835510,3469924
98,95.854301,3469924
99,96.984337,3469924
100,97.758313,3469924
101,98.532948,3469924
102,99.330250,3469924
103,100.209709,3469924
