Generation,Time,Cost
0,46.932573,3441140
1,54.742939,3441140
2,63.416494,3447903
3,71.981811,3447903
4,79.933187,3447903
5,87.731276,3447903
6,96.081786,3447903
7,103.893970,3448524
8,111.630713,3448524
9,119.204217,3448758
10,126.759171,3448758
11,134.039735,3452834
12,141.686048,3459654
13,149.607196,3459654
14,157.568708,3468413
15,165.251061,3468413
16,173.657358,3468413
17,180.991143,3468413
18,188.577917,3468413
19,196.065105,3468413
20,203.439058,3469877
21,211.025591,3470497
22,218.309563,3470497
23,226.483287,3470497
24,233.376958,3470497
25,241.524734,3471277
26,249.145368,3471277
27,257.098439,3471277
