Generation,Time,Cost
0,56.629005,3445589
1,66.196412,3445589
2,74.940374,3455280
3,84.204343,3455280
4,91.873363,3455280
5,100.624334,3455280
6,109.555886,3455280
7,118.943941,3455280
8,127.448110,3457442
9,136.465563,3457442
10,145.065137,3458608
11,154.160642,3461168
12,162.580728,3461168
13,171.617824,3461927
14,180.602255,3461927
15,189.569724,3461927
16,198.794191,3464699
17,208.246339,3464699
18,217.123770,3464699
19,225.771090,3464699
20,234.540247,3465490
21,243.736424,3467552
22,252.116558,3467552
