"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-be75eec_150",150," best"," exchange"," CW",0.12864,2836636,2,18.5536581192066
"N-be75eec_150",150," best"," exchange"," random",0.129692,2215441,2,36.3895948924265
"N-be75eec_150",150," best"," transpose"," CW",0.004976,2791789,6,19.8413186066036
"N-be75eec_150",150," best"," transpose"," random",0.004813,2110005,5,39.4169048830433
"N-be75eec_150",150," best"," insert"," CW",1.954038,3406798,16,2.18299611694864
"N-be75eec_150",150," best"," insert"," random",1.31528,3404893,10,2.23769304714445
"N-be75eec_250",250," best"," exchange"," CW",1.07208,7141980,2,19.6946815174577
"N-be75eec_250",250," best"," exchange"," random",1.068625,5791989,2,34.8741495646331
"N-be75eec_250",250," best"," transpose"," CW",0.028463,7112369,6,20.0276313136748
"N-be75eec_250",250," best"," transpose"," random",0.032945,5668583,7,36.2617420995683
"N-be75eec_250",250," best"," insert"," CW",15.234168,8729117,14,1.84871411620106
"N-be75eec_250",250," best"," insert"," random",15.704187,8684528,16,2.35007842215237
"N-be75np_150",150," best"," exchange"," CW",0.126475,5727028,2,20.173284594718
"N-be75np_150",150," best"," exchange"," random",0.118567,4965404,2,30.7892519505319
"N-be75np_150",150," best"," transpose"," CW",0.009774,5674004,10,20.9123645778523
"N-be75np_150",150," best"," transpose"," random",0.008063,4809500,6,32.9623344356438
"N-be75np_150",150," best"," insert"," CW",1.153299,7073927,9,1.39940691284546
"N-be75np_150",150," best"," insert"," random",1.387964,7042190,12,1.84177605558711
"N-be75np_250",250," best"," exchange"," CW",0.995217,14555603,2,18.2915450212618
"N-be75np_250",250," best"," exchange"," random",0.909286,11941484,2,32.9660057509591
"N-be75np_250",250," best"," transpose"," CW",0.027817,14546483,6,18.3427405031258
"N-be75np_250",250," best"," transpose"," random",0.032166,11908894,7,33.1489510090674
"N-be75np_250",250," best"," insert"," CW",16.259355,17545849,17,1.50568045307103
"N-be75np_250",250," best"," insert"," random",14.341446,17399162,15,2.32911374782812
"N-be75oi_150",150," best"," exchange"," CW",0.14556,1926228,2,14.2577855487609
"N-be75oi_150",150," best"," exchange"," random",0.120367,1628319,2,27.518613116917
"N-be75oi_150",150," best"," transpose"," CW",0.006876,1910448,7,14.9602009139412
"N-be75oi_150",150," best"," transpose"," random",0.006665,1494458,6,33.4771697201111
"N-be75oi_150",150," best"," insert"," CW",1.574823,2213370,13,1.47622960524969
"N-be75oi_150",150," best"," insert"," random",1.72929,2218559,14,1.24525157420275
"N-be75oi_250",250," best"," exchange"," CW",0.998902,4909947,2,16.9227200370349
"N-be75oi_250",250," best"," exchange"," random",1.00052,3162920,2,46.4827644085646
