"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"first","exchange","CW",27.181183,3397712,1162,2.44387606852822
"N-be75eec_150",150,"first","exchange","random",28.63181,3388243,1532,2.71575283074559
"N-be75eec_150",150,"first","transpose","CW",0.031871,2791789,92,19.8413186066036
"N-be75eec_150",150,"first","transpose","random",0.03193,2110005,81,39.4169048830433
"N-be75eec_150",150,"first","insert","CW",65.416344,3428494,1616,1.56005407100207
"N-be75eec_150",150,"first","insert","random",101.803229,3419060,2397,1.8309259027434
"N-be75np_150",150,"first","exchange","CW",28.395358,6980620,950,2.69997525899649
"N-be75np_150",150,"first","exchange","random",36.920195,7020919,1451,2.13826387848334
"N-be75np_150",150,"first","transpose","CW",0.064284,5674004,115,20.9123645778523
"N-be75np_150",150,"first","transpose","random",0.058005,4809500,112,32.9623344356438
"N-be75np_150",150,"first","insert","CW",72.960782,7016306,1481,2.2025626104198
"N-be75np_150",150,"first","insert","random",105.881507,7116303,2636,0.808745073578351
"N-be75oi_150",150,"first","exchange","CW",30.391969,2219513,1066,1.20278615858919
"N-be75oi_150",150,"first","exchange","random",35.162273,2214574,1504,1.42263593606863
"N-be75oi_150",150,"first","transpose","CW",0.032429,1910448,81,14.9602009139412
"N-be75oi_150",150,"first","transpose","random",0.028826,1494458,69,33.4771697201111
"N-be75oi_150",150,"first","insert","CW",62.321167,2214572,1341,1.42272496209717
"N-be75oi_150",150,"first","insert","random",97.863915,2212119,2181,1.53191538610143
"N-be75tot_150",150,"first","exchange","CW",33.065934,11975141,1228,2.5437292734926
"N-be75tot_150",150,"first","exchange","random",36.766622,12023524,1476,2.14997802275071
"N-be75tot_150",150,"first","transpose","CW",0.064734,9605294,141,21.8300534021522
"N-be75tot_150",150,"first","transpose","random",0.06987,7763504,142,36.8189361937097
"N-be75tot_150",150,"first","insert","CW",86.306405,12051187,1787,1.92485058440928
"N-be75tot_150",150,"first","insert","random",95.18206,11936955,2468,2.85449514706039
"N-stabu1_150",150,"first","exchange","CW",32.906934,2817293,1182,2.03214346816741
"N-stabu1_150",150,"first","exchange","random",40.444877,2803958,1791,2.49585149102907
"N-stabu1_150",150,"first","transpose","CW",0.058641,2321695,127,19.2659468963033
"N-stabu1_150",150,"first","transpose","random",0.055939,1827538,124,36.449641343491
"N-stabu1_150",150,"first","insert","CW",83.914568,2840179,1715,1.23631131134612
"N-stabu1_150",150,"first","insert","random",121.24299,2824108,2972,1.79516032787478
"N-stabu2_150",150,"first","exchange","CW",30.175848,4266313,1395,1.4147767159988
"N-stabu2_150",150,"first","exchange","random",28.878521,4224445,1530,2.38225522225339
"N-stabu2_150",150,"first","transpose","CW",0.064811,3520854,118,18.6407144200698
"N-stabu2_150",150,"first","transpose","random",0.068031,2726108,115,37.0055675998686
"N-stabu2_150",150,"first","insert","CW",105.040007,4285305,1943,0.975912863156834
