"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-be75eec_150",150,"first","VND1","CW",19.315868,3427061,1559,1.60119879592102
"N-be75eec_150",150,"first","VND2","CW",36.206702,3431327,1455,1.47871212704159
"N-be75np_150",150,"first","VND1","CW",21.342545,7077945,1655,1.34340164405711
"N-be75np_150",150,"first","VND2","CW",34.131041,7063584,1592,1.54357378568716
"N-be75oi_150",150,"first","VND1","CW",32.148982,2228797,1568,0.789527334106673
"N-be75oi_150",150,"first","VND2","CW",42.555796,2212499,1573,1.51500044067884
"N-be75tot_150",150,"first","VND1","CW",22.425131,11962381,1789,2.64757289541491
"N-be75tot_150",150,"first","VND2","CW",34.334419,12011445,1676,2.24827952033687
"N-stabu1_150",150,"first","VND1","CW",26.64378,2828224,1807,1.65203155231433
"N-stabu1_150",150,"first","VND2","CW",32.550049,2837189,1631,1.34028483878192
"N-stabu2_150",150,"first","VND1","CW",18.87853,4271901,1671,1.28565017799959
"N-stabu2_150",150,"first","VND2","CW",36.175629,4276849,1763,1.17131264936322
"N-stabu3_150",150,"first","VND1","CW",20.851471,4454681,1664,1.23633033991103
"N-stabu3_150",150,"first","VND2","CW",31.642021,4470079,1647,0.894944955542081
"N-t59b11xx_150",150,"first","VND1","CW",27.23032,3170380,1338,2.13517309502863
"N-t59b11xx_150",150,"first","VND2","CW",48.719945,3180905,1330,1.81028229229368
"N-t59d11xx_150",150,"first","VND1","CW",28.952615,1438849,1421,1.63041286062664
"N-t59d11xx_150",150,"first","VND2","CW",37.011068,1440200,1396,1.53804923371006
"N-t59f11xx_150",150,"first","VND1","CW",19.927363,1502349,1195,2.68077446035033
"N-t59f11xx_150",150,"first","VND2","CW",35.361031,1528357,1463,0.99602716272827
"N-t59n11xx_150",150,"first","VND1","CW",22.848351,312292,1350,2.09054426887384
"N-t59n11xx_150",150,"first","VND2","CW",35.382343,314620,1312,1.36067218459995
"N-t65b11xx_150",150,"first","VND1","CW",21.322277,6365180,1587,1.37369465229671
"N-t65b11xx_150",150,"first","VND2","CW",29.757656,6356218,1523,1.5125578028323
"N-t65d11xx_150",150,"first","VND1","CW",23.594888,3490261,1580,1.94097400450139
"N-t65d11xx_150",150,"first","VND2","CW",31.451583,3481614,1598,2.18391182427563
"N-t65f11xx_150",150,"first","VND1","CW",21.220432,3095594,1622,2.01726570793897
"N-t65f11xx_150",150,"first","VND2","CW",30.014968,3106989,1500,1.65658751265302
"N-t65l11xx_150",150,"first","VND1","CW",17.138445,250157,1053,1.27823643624998
"N-t65l11xx_150",150,"first","VND2","CW",24.211901,250880,830,0.992912279593995
"N-t65n11xx_150",150,"first","VND1","CW",19.887285,536731,1519,2.54242981626305
"N-t65n11xx_150",150,"first","VND2","CW",29.286776,539422,1399,2.05380828822678
"N-t69r11xx_150",150,"first","VND1","CW",24.993481,11628433,1911,1.91906903845889
