"algorithm","size","average_relative_deviation","sd_relative_deviation","average_time","sd_time"
"First exchange random",150,3.78284415918164,0.777787833814022,0.672924769230769,0.135431807181494
"First exchange random",250,3.59176435497561,0.480666365741568,5.91370002564103,1.08046500768467
"First exchange CW",150,3.48017395883493,0.65440777857376,0.63785541025641,0.119846072085628
"First exchange CW",250,3.27121867263312,0.429622775491457,5.99358966666667,1.14718821384841
"First insert random",150,2.09057735351754,0.543209979137158,1.51989535897436,0.22971016395157
"First insert random",250,2.22794974178459,0.333826773159256,14.6331603076923,2.59410569508436
"First insert CW",150,1.98906946665642,0.475602974254285,1.41295166666667,0.234483278730324
"First insert CW",250,1.93690020158525,0.412744721025175,14.3456244102564,2.67616957616142
"First transpose random",150,35.992050033772,3.25978344771361,0.00763284615384615,0.00235271201336113
"First transpose random",250,33.2196330861268,3.82939913522423,0.0336689743589744,0.00791706337930655
"First transpose CW",150,20.0203944572352,2.05704967837512,0.00609925641025641,0.0021108493516012
"First transpose CW",250,18.6675425744629,1.4296934585138,0.0345834358974359,0.00750350389658364
